pid,title,catalog_course_id,description,academic_level,credits,date_start,online_offering,campus_offering,subject_code
EyFdL2HKe,Financial Accounting,ACC201,"Students will learn the steps of the accounting cycle and how to prepare financial statements in accordance with industry established rules and regulations. Students will develop skills needed to analyze financial accounting information, communicate this information to stakeholders, and understand the accounting procedures that produce this information.",Undergraduate,3,2021-07-30,1,1,ACC
NJ9u82Htl,Managerial Accounting,ACC202,"Students will explore the financial impact of short-term and long-term business decisions. By learning how accounting and other productivity information can be used to assess and improve performance of an organization, managers will be provided the essential information they need to execute growth strategies and select opportunities that create business value.",Undergraduate,3,2021-07-30,1,1,ACC
41LVplcFl,Fundamentals of Financial Accounting,ACC215,"This course is designed to give students an introduction to financial accounting and reporting techniques and concepts including an overview of the accounting cycle, financial statements and ethical responsibilities of accountants in business.",Undergraduate,3,2014-10-22,0,1,ACC
SkDg3Gw7x,Foundations of QuickBooks,ACC225,This course will provide an introduction to QuickBooks which is one of the most popular accounting systems used by small businesses. This course will take you through the fundamentals of how this software works. You will learn how to apply the accounting cycle using this software and produce various reports that can be used to provide valuable information to a business. ,Undergraduate,1,2021-07-01,0,1,ACC
41HBiK3Lb,Professional Communication in Accounting,ACC302,"Professional Communication in Accounting introduces students to the rhetorical strategies necessary to plan, design, write and distribute texts necessary for professional accounting experiences. Emphasizing the need to address appropriate audience and language, students will be able to create a portfolio of workplace documents representative of their field.",Undergraduate,2,2021-07-01,0,1,ACC
EJc_LnSYx,Intermediate Accounting I,ACC307,"Review introductory concepts including the accounting cycle, journal and adjusting entries. Learn to address more intricate accounting scenarios such as recording more complex financial statement elements. Apply theoretical frameworks and various accounting standards and regulations to the proper preparation of financial statements.",Undergraduate,3,2022-07-01,1,1,ACC
N1F98hBYl,Intermediate Accounting II,ACC308,Apply accounting rules and methodologies for increasingly complex transactions and elements to create more extensive financial statements. Assess a company’s financial performance using appropriate ratio analysis to support informed decision making.,Undergraduate,3,2022-07-01,1,1,ACC
Eye1w3HYg,Intermediate Accounting III,ACC309,"Examine reporting and disclosure requirements for complex accounting topics. Analyze the financial impact of changes to an organization based on factors such as stock characteristics, comprehensive income and retained earnings, types of leases and post-retirement benefits. Consider correct disclosure for error corrections, accounting changes and adjustments. Gain perspective on communicating financial information to internal and external stakeholders for informing company decisions.",Undergraduate,3,2022-01-03,1,0,ACC
SyTwMVenS,Cost Accounting,ACC311,"In this course, students will gather cost data and behavior trends to support the development of cost reports. Students will analyze the data and communicate findings to stakeholders to support their understanding of business costs and inform business operations and decisions.",Undergraduate,3,2022-07-01,1,1,ACC
VJdCL3BKg,International Managerial Accounting,ACC312,"The study of foreign currencies and exchange risk management, global organization and control, planning and performance evaluation in multinational enterprises, multinational taxation, global financial statement analysis, and transparency and disclosure in global environment to gain an appreciation and understanding of international managerial accounting.  The above studies will relate to international accounting and reporting considerations, standards, and responsibilities.",Undergraduate,3,2022-01-03,1,0,ACC
NJmO83SYe,Accounting Information Systems,ACC315,"The course introduces the student to the fundamentals of accounting information systems and how they function within organizations. Students will explore how accounting information systems facilitate business processes, record transactions, and support internal controls, as well as the functionality of accounting applications and software. Students will learn how accounting information systems are used for data analysis and problem solving.",Undergraduate,3,2022-07-01,1,1,ACC
HksQJaMl9,Intermediate Accounting I,ACC317,"In this course, students will take an in-depth look at financial statement elements and the interplay of various financial transactions represented on a financial statement. Students will apply theoretical frameworks and research accounting principles and concepts for the proper preparation and interpretation of financial statements. Students will utilize authentic industry tools and technologies to prepare financial statements and connect concepts learned to the importance of financial information for its users.",Undergraduate,3,2022-07-01,1,1,ACC
BJMw1Cfgq,Intermediate Accounting II,ACC318,"In this course, students will study the liabilities and equities side of the balance sheet and apply accounting concepts for the proper preparation of financial statements. Students will analyze the inflows and outflows of cash for an organization and prepare accurate cash flow statements using direct and indirect methods. Students will utilize authentic tools and technologies to apply accounting principles to a variety of financial reporting situations.",Undergraduate,3,2022-07-01,1,1,ACC
r1TVxMQH4,Microsoft Excel for Accountants,ACC320,"Developed specifically for accounting students, this hands-on Microsoft Excel course is designed to teach Excel features, functions, and techniques that are needed in the field of accounting.   Topics include using excel for proper financial statement presentation, computation and presentation of amortization schedules for loans, bonds, and leases with related journal entries, worksheet management, formula usage for computation of financial ratios, creation of charts and pivot tables, usage of excel for capital budgeting tools, and usage of various excel functions and formulas. ",Undergraduate,2,2021-07-01,0,1,ACC
VkX_InrFe,Governmental and Non-Profit Accounting,ACC322,This course covers the accounting principles and procedures applicable to governmental and nonprofit institutions.,Undergraduate,3,2022-07-01,0,1,ACC
H1JPCSlYf,Accounting for Nonprofit Organizations,ACC325,"Learn how financial information is used to manage and make decisions in a nonprofit organization. Examine generally accepted accounting principles and practices specific to not-for-profit organizations including structure and governance, legal requirements, financial reporting, budgeting, and tax filing.",Undergraduate,3,2022-07-01,1,0,ACC
NJtqU2BYl,Federal Taxation I,ACC330,"In this course, students will learn about current US tax laws and the Internal Revenue Code (IRC), as well as the relevant source documents, associated with federal tax returns for individuals. Students will research and apply the appropriate tax laws in relation to the specific circumstances and tax liabilities. Students will prepare federal tax returns and communicate various tax return information to stakeholders.",Undergraduate,3,2022-07-01,1,1,ACC
41_hInBKg,Federal Taxation II,ACC331,"A detailed presentation is made of the theory and practice applicable to the preparation of federal income tax returns for S corporations, C corporations and partnerships.",Undergraduate,3,2021-07-01,1,1,ACC
NJRR83HFe,Controllership,ACC340,"This course examines the accounting and  interpersonal skills necessary to manage an efficient accounting department.  These skills include processing accounting transactions,  preparing financial statements, recommending improvement in financial operating policies, and monitoring the financial activities in other  departments.  Basic areas of subject coverage include cash management, inventory valuation,  operating budgeting, taxes, insurance, and capital budgeting.  Also included will be the use of  electronic spreadsheets for financial analysis, client-server computing applications,  target costing, disaster recovery planning,  activity based costing, outsourcing, and  managing in a growth environment.",Undergraduate,3,2022-07-01,1,1,ACC
41e1PnBKx,Financial Statement Analysis/ Business Valuation,ACC345,"In this course, students will explore the theories, tools, and techniques used to perform fundamental valuations of publicly traded companies. Students will investigate a corporation’s prospects through the analysis of financial documentation. Students will learn how to dissect SEC filings and other financial sources to evaluate organizational health and support business decision making. Students will practice communication skills as they present their analysis to stakeholders to support business decisions.",Undergraduate,3,2022-07-01,1,1,ACC
4yc1sxctx,Volunteer Income Tax Assistance,ACC350,"In this course, students will gain an understanding of the guidelines and regulations specific to the Volunteer Income Tax Assistance (VITA) program. The course provides students with the opportunity to become certified under the Volunteer Income Tax Assistance Program sponsored by the IRS. Students will prepare taxes using technology specific to the VITA program and develop communication skills to present information to clients from diverse backgrounds.",Undergraduate,3,2022-07-01,1,1,ACC
N1L08hBtg,Advanced Accounting,ACC405,"In this course, students will analyze economic activity of complex business situations as reported within financial statements. Students will evaluate consolidated financial statements for regulatory compliance requirements and accuracy. Students will determine the regulatory requirements needed for the development of financial reports and governmental accounting practices.",Undergraduate,3,2022-07-01,1,1,ACC
EkN_8hSKx,Auditing Principles,ACC411,"In this course, students will explore the various functions and governing standards required to complete an external audit. Students will apply governing standards to the audit planning process and analyze potential risks and audit strategies for an organization. Students will prepare audit reports based on substantive testing that meet regulatory compliance standards.",Undergraduate,3,2022-07-01,1,1,ACC
EJtRL2rFe,Auditing and Forensic Accounting,ACC421,"In this course students will learn about classic fraud types and the impact that fraud can have on an organization. Students will identify red flags associated with occupational fraud types and analyze methods to detect, prevent, and deter fraud. Students will discuss the legal impacts of fraud examination procedures.",Undergraduate,3,2022-07-01,1,0,ACC
NJG1P2BKg,Detection/Prevention Fraudulent Financial Statements,ACC423,"In this course, students will learn how to analyze financial statement fraud to identify and interpret red flags associated with related fraud schemes. Various detection techniques will be used to identify the fraud and assess the risks to an organization. Students will also explore strategies to prevent fraud and make recommendations to stakeholders for approaches to use to mitigate fraud within their organization.",Undergraduate,3,2022-07-01,1,0,ACC
4JbWvnSKl,Interview Techniques/Legal Aspects Fraud,ACC425,"In this course, students will take a deeper look into the impact of the legal process on fraud investigations within organizations. Students will learn characteristics of fraudsters and analyze the behaviors of individuals who commit fraud. Students will learn about characteristics of a good interview, interview strategies, and questioning techniques which they will apply to various scenarios.",Undergraduate,3,2022-07-01,1,0,ACC
NyZWwnSKg,Investigating with Computers,ACC427,"In this course, students will learn about common computer fraud schemes and their impact on organizations. Students will determine digital detection and prevention techniques to address cybercrime by learning about authentic digital forensic tools. Students will present their findings and conclusions to internal stakeholders. ",Undergraduate,3,2022-07-01,1,0,ACC
HJxaXGXuX,Data Analytics for Financial Professionals,ACC430,This course provides students with an understanding of data analytic thinking and terminology as well as experience with data preparation using analytics tools and techniques. Students will gain the skills necessary to translate accounting and business problems into actionable narratives that can be presented to stakeholders.,Undergraduate,3,2022-07-01,1,1,ACC
HJoQnCgyu,VITA Mentorship,ACC482,VITA Mentorship is a hands on class where the student will assist the faculty to mentor and guide accounting students working on VITA client tax returns.  The VITA mentor will also assist in the accuracy review process of tax returns.   ,Undergraduate,3,2021-07-01,0,1,ACC
rkeWfaj0P,Accounting Leadership,ACC485,Hands on class where the student will be an Accounting Lab leader working under the direction of the Accounting Lab Graduate Assistant.,Undergraduate,0,2022-07-01,0,1,ACC
VJG1_3HFe,Accounting Internship,ACC490,"This program provides an opportunity for a student to work in public, private or governmental accounting in a supervised and structured work experience.",Undergraduate,0,2022-07-01,1,1,ACC
ryn7CkKTt,Experiential Learning for Accounting,ACC496,"In this course, students will build on the skills gained throughout the program through experiential learning. Students will apply learning from their accounting program to an authentic industry challenge. Students will determine when and how to use a function within an industry technology to meet needs or challenges specific to the industry. Students will communicate how their career goals align to the skills learned in the accounting program.",Undergraduate,3,2022-07-01,1,0,ACC
N1WyO2HFl,Accounting for Managers,ACC515,"This course is designed to provide corporate managers with an understanding of cost accounting so as to be able to perform performance evaluation and analysis.  The course specifically covers cost accounting terminology and methodology, review of financial statements and cost accounting reports, analysis of unit and total costs composition, analysis of budgets and evaluation of actual versus budget performance.",Graduate,2,2015-12-01,0,1,ACC
Vy1kw2SYg,Cost Accounting,ACC550,"This course provides a comprehensive study of the concepts, procedures, and practices of accounting systems that record, classify, and report cost data. These systems are designed to aid in the cost-effective operation of for-profit and non-profit organizations. This course focuses on cost behaviors, alternative cost systems, and accounting tools for planning and control. Additional topics studied would include relevant cost analysis for management decisions, cost/revenue allocation methods, inventory management, and transfer pricing.",Graduate,3,2022-03-25,1,1,ACC
VkgSw3HYl,Financial Reporting I,ACC610,"Students will be introduced to foundational financial accounting theories and practices, with emphasis placed on standards and compliance with Generally Accepted Accounting Principles (GAAP). Students will learn to analyze financial statements and accounts for advising stakeholders on related business decisions. Course content will include measurement and reporting of cash and receivables, inventories, assets, and liabilities. This course is the first of three financial reporting foundation courses (ACC610, ACC620, ACC630) in the Accounting program for students without the required foundational knowledge.",Graduate,3,2021-01-04,1,0,ACC
NkxwP3BKl,Financial Reporting II,ACC620,"Students will build upon knowledge gained in ACC610. Concepts will be concentrated on additional financial activities and the impact they have on financial statements. These activities will include stockholders’ equity, income management, pensions, leases, and statement of cash flows. This course is the second of three financial reporting foundation courses (ACC610, ACC620, ACC630) in the Accounting program for students without the required foundational knowledge.",Graduate,3,2019-05-10,1,0,ACC
V11KPhSKl,Financial Reporting III,ACC630,"Students will apply advanced accounting skills by integrating concepts from ACC610 and ACC620. They will analyze reports and develop strategies for common business planning situations related to partnerships, trusts, and consolidations. This course completes the financial reporting foundation courses (ACC610, ACC620, ACC630) in the Accounting program for students without the required foundational knowledge.",Graduate,3,2019-05-30,1,0,ACC
EkkYDnrFx,Auditing,ACC640,This course is a study of the concepts and methods of professional auditing.,Graduate,3,2022-03-25,1,1,ACC
VkxKwnrKx,Advanced Auditing,ACC645,"This course is designed to introduce the student who is familiar with financial auditing principles to advanced auditing topics including 1) beyond the financial audit, 2) when audits go wrong, and 3) behavioral and ethical concerns for auditors. The course utilizes a combination of case studies, student presentations, and reviews of current auditing research and professional materials to assist students in increasing their knowledge of auditing. This is a reading intensive course.",Graduate,3,2022-07-01,1,1,ACC
Ek5C82HFe,Introduction to Forensic Accounting/ Fraud Exam,ACC646,"This course will develop the student's understanding of what forensic accounting and fraud examination is and how it pertains to both civil and criminal matters.  The student will gain a basic understanding of the characteristics of fraud, fraud prevention and detection, investigative techniques, asset recovery, and the use of information technology in this interesting and growing profession.",Graduate,3,2019-09-27,1,0,ACC
N1-tDhBYe,Controllership,ACC660,"This comprehensive course is designed to help financial managers master the technical, financial, accounting and people management skills necessary for the job of a corporate controller.",Graduate,3,1997-07-01,1,0,ACC
